0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/datatables/dataTables.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/codeprettifier/prettify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/datatables/dataTables.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/demo/avatar/dangerfield.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/easypiechart/jquery.easypiechart.min.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/sparklines/jquery.sparklines.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/img/BPS_LOGO.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:25 +0800] "GET /PersonnelTravelManagementWeb/assets/fonts/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:26 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/easypiechart/jquery.easypiechart.min.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:26 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/sparklines/jquery.sparklines.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:26 +0800] "GET /PersonnelTravelManagementWeb/assets/img/BPS_LOGO.png HTTP/1.1" 200 9822
0:0:0:0:0:0:0:1 - - [19/Jun/2016:22:23:36 +0800] "GET /PersonnelTravelManagementWeb/TravelExpenseReport HTTP/1.1" 200 19134
