0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:27:38 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 200 70857
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:27:38 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/form-select2/select2.min.js HTTP/1.1" 200 60042
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:27:38 +0800] "GET /PersonnelTravelManagementWeb/assets/js/edit_ajax.js HTTP/1.1" 200 16747
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:27:38 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/form-datepicker/js/bootstrap-datepicker.js HTTP/1.1" 200 41944
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:27:38 +0800] "GET /PersonnelTravelManagementWeb/assets/js/fixselect2inmodal.js HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:27:38 +0800] "GET /PersonnelTravelManagementWeb/assets/js/tools.js HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:27:38 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/datatables/images/sort_both.png HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:27:43 +0800] "POST /PersonnelTravelManagementWeb/Department HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:28:13 +0800] "POST /PersonnelTravelManagementWeb/Department HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:29:49 +0800] "GET /PersonnelTravelManagementWeb/TravelOrder HTTP/1.1" 200 28814
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:29:49 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/form-multiselect/css/multi-select.css HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:29:50 +0800] "GET /PersonnelTravelManagementWeb/assets/js/demo.js HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:29:50 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/quicksearch/jquery.quicksearch.min.js HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:29:50 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/form-multiselect/js/jquery.multi-select.min.js HTTP/1.1" 200 9425
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:29:50 +0800] "GET /PersonnelTravelManagementWeb/assets/js/TO_Comment.js HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:29:50 +0800] "GET /PersonnelTravelManagementWeb/assets/js/multi-select.js HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:29:50 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/form-jasnyupload/fileinput.js HTTP/1.1" 200 6328
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:29:50 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/form-select2/select2.png HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:29:50 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/form-multiselect/img/switch.png HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [28/Apr/2016:18:29:52 +0800] "POST /PersonnelTravelManagementWeb/TravelOrderOfficer HTTP/1.1" 200 117
