0:0:0:0:0:0:0:1 - - [01/May/2016:10:07:54 +0800] "GET /PersonnelTravelManagementWeb/CompanyPolicy HTTP/1.1" 200 27533
0:0:0:0:0:0:0:1 - - [01/May/2016:10:07:55 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/easypiechart/jquery.easypiechart.min.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [01/May/2016:10:07:55 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/sparklines/jquery.sparklines.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [01/May/2016:10:07:57 +0800] "GET /PersonnelTravelManagementWeb/Currency HTTP/1.1" 200 24516
0:0:0:0:0:0:0:1 - - [01/May/2016:10:07:57 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/easypiechart/jquery.easypiechart.min.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [01/May/2016:10:07:57 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/sparklines/jquery.sparklines.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [01/May/2016:10:07:58 +0800] "GET /PersonnelTravelManagementWeb/Destination HTTP/1.1" 200 24761
0:0:0:0:0:0:0:1 - - [01/May/2016:10:07:58 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/easypiechart/jquery.easypiechart.min.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [01/May/2016:10:07:58 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/sparklines/jquery.sparklines.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [01/May/2016:10:08:18 +0800] "POST /PersonnelTravelManagementWeb/Destination HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [01/May/2016:10:08:35 +0800] "GET /PersonnelTravelManagementWeb/TravelPlan HTTP/1.1" 200 27214
0:0:0:0:0:0:0:1 - - [01/May/2016:10:08:35 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/easypiechart/jquery.easypiechart.min.js HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [01/May/2016:10:08:35 +0800] "GET /PersonnelTravelManagementWeb/assets/plugins/sparklines/jquery.sparklines.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [01/May/2016:10:08:35 +0800] "GET /PersonnelTravelManagementWeb/assets/js/travel-plan.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [01/May/2016:10:08:53 +0800] "GET /RecordingSystem_v3/index.php/transaction/Request_controller HTTP/1.1" 404 1069
